Sample ID,Datetime,Baseflow_f,Snowmelt lysimeter_f,Soil water lysimeter_f,Baseflow_Uncertainty_95sig,Snowmelt lysimeter_Uncertainty_95sig,Soil water lysimeter_Uncertainty_95sig
RI23-1035,2023-03-22 15:00:00,1.0,-4.5297865835291046e-17,0.0,0.5216288075184989,0.31645373162347873,0.2571849826373573
RI23-1036,2023-03-22 18:00:00,0.9356615918406267,0.09629297437058909,-0.03195456621121574,0.4935363498653866,0.3047301473446164,0.249055494834576
RI23-1037,2023-03-23 00:00:00,0.6697696278092393,-0.010765188859691336,0.3409955610504522,0.4428550848045019,0.3669059030789407,0.32001912944072736
RI23-1038,2023-03-23 06:00:00,0.6996440269399732,-0.07782802700884534,0.37818400006887226,0.47674394284123633,0.4026531703210701,0.3522063041389652
RI23-1042,2023-03-23 12:00:00,0.7306776988473733,0.02337686879257824,0.24594543236004845,0.4290131743081636,0.31682175039351845,0.2708366898298172
RI23-1043,2023-03-23 18:00:00,0.6632855836507064,0.2845386532031991,0.052175763146094525,0.40325151437836143,0.2907539903482909,0.24733319310278326
RI23-1044,2023-03-24 00:00:00,0.40627966179792163,0.6570352734895791,-0.06331493528750073,0.5166147770086854,0.47333534030004965,0.41854225661534805
RI23-1045,2023-03-24 06:00:00,0.47625705258092405,0.4784053195692111,0.045337627849864906,0.4235258676814292,0.36430094135435825,0.3194912373756228
RI23-1046,2023-03-24 12:00:00,0.4703537917719813,0.383870316466342,0.14577589176167677,0.3855381558305384,0.32918094063351344,0.28839010888349403
RI23-1047,2023-03-24 15:45:00,0.5992563498036864,0.351283832237582,0.04945981795873162,0.4025057468030197,0.31036429299135876,0.2674986166421137
