Sample ID,Datetime,Baseflow_f,Snowmelt lysimeter_f,Soil water lysimeter_f,Baseflow_Uncertainty_70sig,Snowmelt lysimeter_Uncertainty_70sig,Soil water lysimeter_Uncertainty_70sig
RI23-1035,2023-03-22 15:00:00,1.0,-4.5297865835291046e-17,0.0,0.08085743325928546,0.04994409966510559,0.040824167510761164
RI23-1036,2023-03-22 18:00:00,0.9356615918406267,0.09629297437058909,-0.03195456621121574,0.07653447975020314,0.048173293083003436,0.03960334663839438
RI23-1037,2023-03-23 00:00:00,0.6697696278092393,-0.010765188859691336,0.3409955610504522,0.06874066454076795,0.05759313819070613,0.05031801508899009
RI23-1038,2023-03-23 06:00:00,0.6996440269399732,-0.07782802700884534,0.37818400006887226,0.07395132049691927,0.06303410345991603,0.05520980041266359
RI23-1042,2023-03-23 12:00:00,0.7306776988473733,0.02337686879257824,0.24594543236004845,0.0666134465691404,0.04999973403581295,0.04287880114223134
RI23-1043,2023-03-23 18:00:00,0.6632855836507064,0.2845386532031991,0.052175763146094525,0.06265636750026086,0.04606630994249189,0.03934498698863097
RI23-1044,2023-03-24 00:00:00,0.40627966179792163,0.6570352734895791,-0.06331493528750073,0.08008573017546174,0.07382761674712104,0.0653295418227638
RI23-1045,2023-03-24 06:00:00,0.47625705258092405,0.4784053195692111,0.045337627849864906,0.06577035411776778,0.05719724994188947,0.05023791710833059
RI23-1046,2023-03-24 12:00:00,0.4703537917719813,0.383870316466342,0.14577589176167677,0.05993723185790468,0.0518696293481707,0.045527917091089866
RI23-1047,2023-03-24 15:45:00,0.5992563498036864,0.351283832237582,0.04945981795873162,0.06254185679317084,0.04902394616976963,0.04237591828716621
