"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.46825","-73.1499","101.1","2022-12-21","2.4",,"0.0","0.0","180.0",,"-0.5","-8.2","  200","  200","7.2","8.9","    1",,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.46825","-73.1499","101.1","2022-12-22","1.6",,"0.3","0.0","180.0",,"3.9","-7.7","  160","  160","7.6","10.3",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.46825","-73.1499","101.1","2022-12-23","8.2",,"20.1","81.0","150.0",,"13.3","-9.9","  120","  120","20.6","31.3","    1","    1",,,,,"    1","    1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.46825","-73.1499","101.1","2022-12-24","9.3",,"0.3","5.0","100.0",,"-9.9","-13.2","  200","  170","13.0","17.9","    1",,,,,,"    1","    1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.46825","-73.1499","101.1","2022-12-25","7.3",,"0.0","0.0","100.0",,"-2.7","-11.0","  200","  190","12.5","15.7",,,,,,,,"    1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.46825","-73.1499","101.1","2022-12-26","5.0",,"0.0","0.0","100.0",,"-2.7","-6.6","  190","  200","9.4","12.1",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.46825","-73.1499","101.1","2022-12-27","4.1",,"0.0","0.0","80.0",,"-1.0","-4.9","  190","  200","7.6","9.4",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.46825","-73.1499","101.1","2022-12-28","3.9",,"0.0","0.0","50.0",,"1.7","-3.2","  200","  210","8.1","11.2",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.46825","-73.1499","101.1","2022-12-29","3.9",,"0.0","0.0","30.0",,"8.9","-1.0","  200","  200","9.8","13.0",,,,,,,,
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT, VT US","44.46825","-73.1499","101.1","2022-12-30","5.2",,"0.0","0.0","0.0",,"14.4","7.2","  190","  200","9.4","12.5",,,,,,,,
