Sample ID,Site,Date,Time,Type,Type2,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,F_mg_L,Cl_mg_L,NO2_mg_L,Br_mg_L,NO3_mg_L,PO4_mg_L,SO4_mg_L,dD,d18O,DOC_mg_L,NO3_N_mg_L,SO4_S_mg_L,PO4_P_mg_L,Time Zone,Ba_mg_L,S_mg_L,Sr_mg_L,Datetime
RI24-1418,Wade,12/19/2023,11:00,Snowmelt lysimeter,Endmember,0.0055728464522506,0.0029486674679994,,0.143110948700473,1.60541992643776,1.10210458718038,0.0161624150683374,2.0553962205514,2.11030481776085,0.0093401889249047,6.4216020367105,,2.958,,,,,,-123.17,-17.298,,,,,EST,0.0026757259571924,0.366351292220491,0.0288768722897383,2023-12-19 11:00:00
RI24-1419,Wade,12/19/2023,11:30,Soil water lysimeter wet,Endmember,0.0541854801088563,0.0122652189596925,,0.116163639862738,1.27161193295264,0.572828264720966,0.0277393435542943,0.2685030063957,0.356769166134891,0.456166801535497,1.49180709707671,,3.177,,,,,,-60.017,-9.172,,,,,EST,0.0110697588532729,0.81234649316421,0.0133558954313582,2023-12-19 11:30:00
RI24-1420,Wade,12/19/2023,12:00,Soil water lysimeter dry,Endmember,0.216255741046689,0.0100404181948112,,0.443365587890954,1.06242959457586,0.278540049787593,0.007031472337809,0.310526288452836,0.361980813179073,0.736171147470417,0.858941566800132,,3.041,,,,,,-100.162,-14.696,,,,,EST,0.0090682491491102,0.682493684399541,0.0060975957285925,2023-12-19 12:00:00
RI24-1415,Hungerford,12/20/2023,9:30,Snowmelt lysimeter,Endmember,0.0061298493596715,0.0016552155918288,,0.150548781570325,1.4172924153914,1.70404439561823,0.0339328508209458,2.35433564653784,11.812029731631,0.0096198242074704,4.70277981917326,,4.043,,,,,,-123.809,-17.231,,,,,EST,0.0029491797109797,0.312199161807893,0.0257779149491529,2023-12-20 09:30:00
RI24-1416,Hungerford,12/20/2023,9:45,Soil water lysimeter wet,Endmember,,,,,,,,,,,,,5.064,,,,,,-62.853,-9.877,,,,,EST,,,,2023-12-20 09:45:00
RI24-1422,Potash,01/08/2024,11:30,Snow,Endmember,0.0015683453854584,0.0002078923357689,,0.0407648970501766,-0.0044309645429649,0.140769063967067,-0.0009534281396155,0.0129490201691071,0.973774901411688,0.0033868279799188,0.177868934271168,,3.535,,,,,,-150.36,-21.373,,,,,EST,-6.28615798278491E-05,0.0592968715344052,0.0001152657436194,2024-01-08 11:30:00
RI24-1421,Wade,01/22/2024,10:45,Snow,Endmember,0.0036123483417132,0.0080939093508421,,0.427535219809367,0.0113744674980154,0.274553333050017,0.0156683663230229,0.0691221846133769,0.347504942863083,0.0093051249969749,0.469660576142243,,3.131,,,,,,-93.003,-13.846,,,,,EST,0.0019774126565885,0.21775324654557,0.001905797267995,2024-01-22 10:45:00
RI24-1417,Hungerford,01/25/2024,11:00,Snowmelt lysimeter,Endmember,0.0110533640451155,0.0077234344973359,,0.214752077607589,2.93561810180913,3.82262123793148,0.0572067676038611,10.9752974071741,8.3939332885478,0.009286321725069,10.5272144987431,,6.392,,,,,,-86.159,-12.902,,,,,EST,0.0071948680930558,0.819163953291818,0.0756159820645211,2024-01-25 11:00:00
RI24-1253,Potash,02/08/2024,20:00,Baseflow,Endmember,0.009,0.183,0.006,0.004,2.579,7.295,0.221,28.341,297.517,-0.067,65.519,,,,,,,,-72.169,-10.467,,,,,EST,,,,2024-02-08 20:00:00
RI24-1259,Hungerford,02/08/2024,15:00,Baseflow,Endmember,0.012,0.034,0.006,0,3.322,3.412,0.114,12.98,27.861,-0.046,43.261,,,,,,,,-74.789,-11.023,,,,,EST,,,,2024-02-08 15:00:00
RI24-1423,Potash,02/16/2024,9:00,Snow,Endmember,0.0051240279469402,0.0027249809211102,,0.0506362442288233,0.0158332366278157,0.297722951456968,0.0080761144382778,0.0674374512182603,1.37172775010889,0.0065200644292705,0.813715006281711,,3.871,,,,,,-167.129,-23.518,,,,,EST,0.0044325021955976,0.196526822616618,0.0016410264902192,2024-02-16 09:00:00
RI24-1213,Hungerford,02/23/2024,12:00,Soil water lysimeter wet,Endmember,0.05,0,0.005,0.014,0.238,1.512,0.088,1.102,1.882,0.127,4.489,,,,,,,,-75.926,-11.288,,,,,EST,,,,2024-02-23 12:00:00
