Sample ID,Site,Date,Time,Type,Type2,Index-notes,ICP-notes,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,F_mg_L,Cl_mg_L,NO2_mg_L,Br_mg_L,NO3_mg_L,PO4_mg_L,SO4_mg_L,IC-notes,NRS_LWIA_notes,dD,d18O,iso-notes,DOC run date,DOC_mg_L,DOC notes,Type3,S. No.,Transect,Depth,Pit,NO3_N_mg_L,SO4_S_mg_L,PO4_P_mg_L,Time Zone,Freezer bag #,UVM ICPOES prep date,ICPOES-notes-MED,Ba_mg_L,S_mg_L,Sr_mg_L,IC-notes_MED,Isotope/ICP pick list #,Acidified for ICPOES? (Y or N),MED Index Notes,NRS Lab Comments,Datetime
,Potash,5/20/2019,14:30,Grab/Isco,Stream,From Meghan's Major_ion_chemistry_data file,,0.006116354,-0.00014562,0.001303252,-0.000525794,2.78398902,1.952572613,,11.05080534,103.9736489,-0.023494785,44.72632309,,181.4551525,,,,,,,,,,,,,,,16,,,,0.1926,3.4618,,,,,,,,,,,,,,2019-05-20 14:30:00
,Potash,6/19/2019,13:00,Grab/Isco,Stream,From Meghan's Major_ion_chemistry_data file,,0.022686874,0.03704408,0.000141256,-0.003410351,2.073703356,3.15371143,,16.70318563,233.4571222,-0.03393817,50.50319755,,405.5491113,,,,,,,,,,,,,,,17,,,,0.7062,6.1792,,,,,,,,,,,,,,2019-06-19 13:00:00
,Potash,7/2/2019,14:00,Grab/Isco,Stream,From Meghan's Major_ion_chemistry_data file,,0.021899112,0.030227779,0.000518192,0.033103976,3.003388973,2.825236852,,16.02094105,210.8685678,-0.036039301,90.96931715,,343.244874,,,,,,,,,,,,,,,18,,,,0.6141,4.8331,,,,,,,,,,,,,,2019-07-02 14:00:00
,Potash,7/18/2019,13:30,Grab/Isco,Stream,From Meghan's Major_ion_chemistry_data file,,0.032241222,0.017090452,0.000678605,-0.003665252,3.004098184,2.871935216,,13.18420365,199.5317772,-0.029805829,55.42250838,,333.7800292,,,,,,,,,,,,,,,19,,,,0.5223,4.2396,,,,,,,,,,,,,,2019-07-18 13:30:00
,Potash,7/29/2019,12:45,Grab/Isco,Stream,From Meghan's Major_ion_chemistry_data file,,0.017057736,0.015972247,0.001169389,0.003799544,2.556553331,3.645968757,,13.75780366,273.1461763,-0.029580428,59.43109188,,500.6242435,,,,,,,,,,,,,,,20,,,,0.528,5.3369,,,,,,,,,,,,,,2019-07-29 12:45:00
,Potash,8/12/2019,13:45,Grab/Isco,Stream,From Meghan's Major_ion_chemistry_data file,,0.041470942,0.024309407,0.0000951473,0.001732413,2.795523305,3.410031724,,14.18894485,238.6888056,-0.029837724,60.85000932,,419.6285335,,,,,,,,,,,,,,,21,,,,0.5628,6.7625,,,,,,,,,,,,,,2019-08-12 13:45:00
,Potash,8/26/2019,14:30,Grab/Isco,Stream,From Meghan's Major_ion_chemistry_data file,,0.129858961,0.02298121,0.000210675,0.020089702,3.056403046,3.540097138,,15.3941353,239.164826,-0.009184686,54.94605515,,695.0503113,,,,,,,,,,,,,,,22,,,,1.1654,11.116,,,,,,,,,,,,,,2019-08-26 14:30:00
,Potash,9/10/2019,14:30,Grab/Isco,Stream,From Meghan's Major_ion_chemistry_data file,,0.030810517,0.015731321,-0.0000166445,0.005226833,3.31219545,2.744970794,,13.58164282,186.7226922,-0.026737653,59.51299586,,486.3630189,,,,,,,,,,,,,,,23,,,,0.722,12.4504,,,,,,,,,,,,,,2019-09-10 14:30:00
,Potash,9/26/2019,12:00,Grab/Isco,Stream,From Meghan's Major_ion_chemistry_data file,,0.032644703,0.0326689,0.001326122,0.00636246,2.458052948,3.245996644,,12.47104082,177.9246071,-0.023728592,45.91446181,,299.3203725,,,,,,,,,,,,,,,24,,,,0.3548,9.1525,,,,,,,,,,,,,,2019-09-26 12:00:00
,Potash,10/10/2019,14:45,Grab/Isco,Stream,From Meghan's Major_ion_chemistry_data file,,0.036645574,0.022410445,0.000880459,0.006042955,3.280063979,3.311155338,,14.78407863,159.3487003,-0.021786342,46.07037602,,359.744228,,,,,,,,,,,,,,,25,,,,0.5926,11.5924,,,,,,,,,,,,,,2019-10-10 14:45:00
,Potash,10/23/2019,14:45,Grab/Isco,Stream,From Meghan's Major_ion_chemistry_data file,,0.048133872,0.04775876,0.002603514,0.004560309,2.993212545,3.146259822,,13.63980531,112.2133493,-0.023888974,61.68302819,,191.8431124,,,,,,,,,,,,,,,26,,,,0.249,7.3117,,,,,,,,,,,,,,2019-10-23 14:45:00
,Potash,11/7/2019,12:30,Grab/Isco,Stream,From Meghan's Major_ion_chemistry_data file,,0.043080333,0.105591752,0.0013059,0.004963465,3.839552767,3.305621682,,16.15129739,153.5516148,-0.028172347,51.48904836,,439.8097837,,,,,,,,,,,,,,,27,,,,1.2743,16.3275,,,,,,,,,,,,,,2019-11-07 12:30:00
,Potash,11/20/2019,15:00,Grab/Isco,Stream,From Meghan's Major_ion_chemistry_data file,,0.005747842,0.115450997,0.000578383,0.001525161,3.352604506,3.296610599,,16.08268973,319.8311031,-0.026318097,54.10616654,,526.7323268,,,,,,,,,,,,,,,28,,,,0.6444,7.9333,,,,,,,,,,,,,,2019-11-20 15:00:00
,Potash,12/5/2019,11:15,Grab/Isco,Stream,From Meghan's Major_ion_chemistry_data file,,0.005865412,0.095330583,-0.000269023,0.001263872,2.954558536,3.310928118,,17.96983401,300.1081633,-0.027726431,51.24935236,,718.8398383,,,,,,,,,,,,,,,29,,,,1.3525,12.839,,,,,,,,,,,,,,2019-12-05 11:15:00
RI19-WB-SNOW-2,Wade,3/28/2019,12:00,Snow,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.007825832,0.003226163,0.008565442,0.007324079,0.003047912,0.098430294,,0.030994691,0.074999567,0.010246674,0.204892715,,0.114266,,,,,,,,,,,,,,GW19-033,6,SNOW,,FILTERED,0.058384,0.0792749,0.05,,,,,,,,,,,,,2019-03-28 12:00:00
RI19-WB-SNOW-3,Wade,3/13/2019,12:00,Snow,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.008422698,0.003622338,0.008560431,0.010680857,0.003047912,0.110116965,,0.0299577,0.079184464,0.011306058,0.190700279,,0.117952,,,,,,,,,,,,,,GW19-021,7,SNOW,,FILTERED,0.058384,0.1045754,0.05,,,,,,,,,,,,,2019-03-13 12:00:00
RI19-HB-SNOW-1,Hungerford,3/28/2019,12:00,Snow,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.013245701,0.003401317,0.009009217,0.00379929,0.003047912,0.143927842,,0.040549096,0.197902625,0.020058186,0.34934394,,0.143754,,,,,,,,,,,,,,GW19-039,1,SNOW,,FILTERED,0.044144,0.0489143,0.05,,,,,,,,,,,,,2019-03-28 12:00:00
RI20-WB-DRY-SW-WD1-45,Wade,11/6/2019,12:00,Soil water lysimeter dry,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.104476407,0.004007064,0.009181707,0.016526143,0.160332965,0.150588334,,0.05209424,0.301643521,0.349103775,0.311774324,,0.180614,,,,,,,,,,,,,,SW,62,DRY,45,WD1,0.05,0.1669833,0.05,,,,,,,,,,,,,2019-11-06 12:00:00
RI20-WB-SNOW-4,Wade,2/27/2020,12:00,Snow,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.008419541,0.006016734,0.008814895,0.005234844,0.003047912,0.16359017,,0.043482173,0.103691536,0.011583814,0.211606406,,0.187986,,,,,,,,,,,,,,WB1,8,SNOW,,FILTERED,0.062656,0.05,0.05,,,,,,,,,,,,,2020-02-27 12:00:00
RI20-WB-DRY-SW-PIT 3-30,Wade,4/20/2018,12:00,Soil water lysimeter dry,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.036948903,0.005281816,0.009482358,0.025650779,0.237856616,0.241564239,,0.076722183,0.43762524,0.162030327,0.385304279,,0.187986,,,,,,,,,,,,,,SW,60,DRY,30,PIT 3,0.09256,0.3154129,0.05,,,,,,,,,,,,,2018-04-20 12:00:00
RI19-WB-DRY-SW-WD1-30,Wade,11/8/2018,12:00,Soil water lysimeter dry,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.218108732,0.010359878,0.009731011,0.059970674,0.17399862,0.240876994,,0.101122699,0.278433478,0.49372027,1.18880668,,0.210102,,,,,,,,,,,,,,SW,58,DRY,30,WD1,0.307584,0.2293912,0.05,,,,,,,,,,,,,2018-11-08 12:00:00
RI20-WB-DWG-1,Wade,6/23/2020,12:00,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.016885749,0.002453752,0.008674641,0.02914812,6.133720311,0.44517331,,4.659347956,3.377687556,0.000681018,15.60801468,,0.228532,,,,,,,,,,,,,,1,85,Deep groundwater,,,0.065504,3.0040127,0.05,,,,,,,,,,,,,2020-06-23 12:00:00
RI20-WB-DRY-SW-PIT 1-45,Wade,10/30/2019,12:00,Soil water lysimeter dry,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.125971144,0.005277322,0.009161328,0.127734835,0.185424929,0.186285847,,0.062298918,0.27735536,0.413325819,0.409391098,,0.29488,,,,,,,,,,,,,,SW,64,DRY,45,PIT 1,0.07832,0.2142109,0.05,,,,,,,,,,,,,2019-10-30 12:00:00
RI18-WB-WET-SW-PIT 2-,Wade,7/26/2018,12:00,Soil water lysimeter wet,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.072075147,0.038381416,0.010062855,0.026971825,0.083940588,0.863994284,,0.473452323,0.16469699,0.175493306,2.023230654,,0.309624,,,,,,,,,,,,,,SW,66,WET,,PIT 2,0.037024,0.0371074,0.05,,,,,,,,,,,,,2018-07-26 12:00:00
RI20-WB-DRY-SW-WD1-30,Wade,11/6/2019,12:00,Soil water lysimeter dry,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.20637944,0.006651143,0.009792971,0.034705738,0.165509796,0.169066039,,0.063345013,0.372629658,0.347428019,0.754534392,,0.31331,,,,,,,,,,,,,,SW,59,DRY,30,WD1,0.11392,0.0151803,0.05,,,,,,,,,,,,,2019-11-06 12:00:00
RI18-WB-WET-SW-PIT 3-,Wade,4/13/2018,12:00,Soil water lysimeter wet,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.019582865,0.016004976,0.009153782,0.006105628,2.73117459,0.256855764,,0.916239933,1.065872285,0.021805491,5.930067405,,0.316996,,,,,,,,,,,,,,SW,56,WET,,PIT 3,0.05,1.7693483,0.05,,,,,,,,,,,,,2018-04-13 12:00:00
RI18-WB-WET-SW-WW2-,Wade,9/27/2018,12:00,Soil water lysimeter wet,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.078493036,0.068033611,0.009895032,0.034510619,0.115015674,1.219797084,,0.465598618,0.157709378,0.126155177,2.193388261,,0.320682,,,,,,,,,,,,,,SW,65,WET,,WW2,0.05,0.05,0.05,,,,,,,,,,,,,2018-09-27 12:00:00
RI20-WB-DRY-SW-WD2-45,Wade,11/6/2019,12:00,Soil water lysimeter dry,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.017403841,0.008867654,0.009083134,0.035456846,0.176748991,0.323952522,,0.181539221,0.420678659,0.259419648,1.200839641,,0.335426,,,,,,,,,,,,,,SW,55,DRY,45,WD2,0.599504,0.2732454,0.05,,,,,,,,,,,,,2019-11-06 12:00:00
RI19-HB-SNOW-3,Hungerford,3/13/2019,12:00,Snow,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.013464401,0.005018196,0.00884975,0.027007461,0.003047912,0.137730005,,0.039467206,0.28294318,0.011901966,0.466175044,,0.353856,,,,,,,,,,,,,,GW19-0256,3,SNOW,,FILTERED,0.051264,0.16867,0.05,,,,,,,,,,,,,2019-03-13 12:00:00
RI19-WB-DRY-SW-WD1-45,Wade,11/8/2018,12:00,Soil water lysimeter dry,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.262425417,0.006228522,0.010093605,0.042298498,0.14585749,0.229765367,,0.149165422,0.459712429,0.37126708,0.879874884,,0.390716,,,,,,,,,,,,,,SW,57,DRY,45,WD1,0.06408,0.3137262,0.05,,,,,,,,,,,,,2018-11-08 12:00:00
RI18-WB-WET-SW-WW3-30,Wade,9/27/2018,12:00,Soil water lysimeter wet,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.186526203,0.01869238,0.009753168,0.024354709,0.083031162,0.364818022,,0.136599113,0.295956089,0.26533987,0.510720767,,0.431262,,,,,,,,,,,,,,SW,63,WET,30,WW3,0.05,0.0759015,0.05,,,,,,,,,,,,,2018-09-27 12:00:00
RI20-WB-WET-SW-WW3-,Wade,11/6/2019,12:00,Soil water lysimeter wet,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.029233625,0.007358661,0.009616032,0.053478068,0.103583062,0.207057476,,0.085997535,0.557144765,0.217348992,0.470035659,,0.493924,,,,,,,,,,,,,,SW,61,WET,,WW3,0.165184,0.2428848,0.05,,,,,,,,,,,,,2019-11-06 12:00:00
RI18-WB-WET-SW-PIT 8- 'M',Wade,2/16/2018,12:00,Soil water lysimeter wet,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.031384544,0.021229849,0.00943873,0.016309906,3.845567139,0.405860154,,0.844493939,1.102780625,0.054262915,6.642516931,,0.711398,,,,,,,,,,,,,,SW,68,WET, 'M',PIT 8,0.07832,4.2133766,0.05,,,,,,,,,,,,,2018-02-16 12:00:00
RI18-WB-SGW3-1,Wade,2/20/2018,10:05,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.493814714,0.633702272,0.017858211,0.010861331,4.34284098,0.530480424,,1.545481457,1.459890043,0.017768083,10.48052409,,0.844094,,,,,,,,,,,,,,WW3,69,GW,,GW18-0028,0.0356,1.1992437,0.05,,,,,,,,,,,,,2018-02-20 10:05:00
RI20-WB-SGW3-16,Wade,9/11/2019,22:57,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.059751867,0.425594246,0.009125274,0.014407732,5.066330179,0.369323992,,2.013014828,1.519476473,0.013756485,14.22439966,,0.844094,,,,,,,,,,,,,,WW3,84,GW,,GW19-220,0.05,1.0238269,0.05,,,,,,,,,,,,,2019-09-11 22:57:00
RI19-WB-SGW3-15,Wade,7/24/2019,9:10,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,1.219464099,1.739630212,0.008528294,0.005056254,4.153503764,0.429978998,,2.191809988,1.457761861,0.000681018,14.70029008,,0.862524,,,,,,,,,,,,,,WW3,83,GW,,GW19-204,0.05,0.2580651,0.05,,,,,,,,,,,,,2019-07-24 09:10:00
RI19-WB-SGW3-14,Wade,6/26/2019,9:12,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.793951592,0.880178278,0.008746712,0.005716651,5.415238893,0.323359189,,2.469533043,1.672644501,0.000377101,16.81941247,,0.880954,,,,,,,,,,,,,,WW3,82,GW,,GW19-174,0.05,1.0137067,0.05,,,,,,,,,,,,,2019-06-26 09:12:00
RI18-WB-SGW3-5,Wade,9/12/2018,17:10,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.133995534,0.74479814,0.008719076,0.009019954,5.044035477,0.421287206,,1.65672177,1.3658929,0.000787823,12.17994073,,0.932558,,,,,,,,,,,,,,WW3,73,GW,,GW18-331,0.05,0.5582977,0.05,,,,,,,,,,,,,2018-09-12 17:10:00
RI19-19WB-SGW3-9,Wade,2/21/2019,12:00,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.085371585,0.824907128,0.008868023,0.005219402,4.312615207,0.30952176,,1.911624651,1.485425027,0.000681018,12.12670409,,0.936244,,,,,,,,,,,,,,WW3,77,GW,,GW19-008,0.05,1.4218881,0.05,,,,,,,,,,,,,2019-02-21 12:00:00
RI19-HB-SNOW-2,Hungerford,2/21/2019,12:00,Snow,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.0168855,0.005298177,0.009023563,0.015015388,0.003047912,0.162222334,,0.087188845,0.519667186,0.011203097,1.1050109,,0.9807976,,,,,,,,,,,,,,GW19-013,2,SNOW,,FILTERED,0.1270118,0.295418,0.05,,,,,,,,,,,,,2019-02-21 12:00:00
RI18-WB-DRY-SW-WD2-15,Wade,9/27/2018,12:00,Soil water lysimeter dry,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.02838677,0.015040245,0.010516664,0.082337287,0.126331128,0.208186173,,0.343913846,0.408631229,0.414851827,1.64312323,,1.028394,,,,,,,,,,,,,,SW,67,DRY,15,WD2,0.610896,0.2917991,0.05,,,,,,,,,,,,,2018-09-27 12:00:00
RI19-WB-SGW3-13,Wade,6/5/2019,8:53,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.809517545,1.38548404,0.008566572,0.005431864,5.948957586,0.376464323,,3.088316889,1.765805476,0.020487451,20.70577466,,1.05051,,,,,,,,,,,,,,WW3,81,GW,,GW19-141,0.05,1.7777818,0.05,,,,,,,,,,,,,2019-06-05 08:53:00
RI18-HB-WET-SW-PIT 3-30,Hungerford,7/13/2018,12:00,Soil water lysimeter wet,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.010585079,0.003607349,0.000541998,0.107817953,2.26370324,1.257657203,,2.703700637,2.604299643,0.000681018,15.84047255,,1.0978236,,,,,,,,,,,,,,SW,26,WET,30,PIT 3,0.680888,1.273094,0.05,,,,,,,,,,,,,2018-07-13 12:00:00
RI18-WB-SGW3-3,Wade,5/8/2018,12:00,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.274687248,1.083221561,0.008408995,0.004251978,6.42221454,0.430656699,,3.407385228,2.000699013,0.000681018,22.32989008,,1.238496,,,,,,,,,,,,,,WW3,71,GW,,GW18-183,0.05,2.4592086,0.05,,,,,,,,,,,,,2018-05-08 12:00:00
RI19-WB-SGW3-8,Wade,11/8/2018,15:22,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.040593228,0.760850658,0.008829126,0.005109512,5.319803326,0.449515337,,1.965020061,1.562758366,0.000681018,13.50175691,,1.242182,,,,,,,,,,,,,,WW3,76,GW,,GW18-397,0.05,1.248158,0.05,,,,,,,,,,,,,2018-11-08 15:22:00
RI18-WB-SGW3-4,Wade,5/22/2018,12:00,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.224798959,1.016482865,0.00864749,0.004692866,6.474950183,0.41815017,,3.600832219,2.074525274,0.000681018,24.02359522,,1.260612,,,,,,,,,,,,,,WW3,72,GW,,0,0.05,2.260178,0.05,,,,,,,,,,,,,2018-05-22 12:00:00
RI19-WB-SGW3-11,Wade,5/7/2019,19:07,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.491083043,1.329509912,0.008718644,0.007126366,6.541057908,0.469695019,,3.716876642,2.125452934,0.000681018,23.89771243,,1.264298,,,,,,,,,,,,,,WW3,79,GW,,GW19-111,0.05,2.2315041,0.05,,,,,,,,,,,,,2019-05-07 19:07:00
RI19-WB-SGW3-7,Wade,10/18/2018,12:00,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.071987246,0.193867229,0.009209105,0.005707396,5.297162216,0.554125073,,1.837098056,1.455772402,0.000632858,12.32461729,,1.279042,,,,,,,,,,,,,,WW3,75,GW,,GW18-381,0.05,1.2211708,0.05,,,,,,,,,,,,,2018-10-18 12:00:00
RI19-WB-SGW3-10,Wade,4/17/2019,8:58,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.091948528,1.07957958,0.008591038,0.002928449,5.77854848,0.416100232,,3.790045677,2.196957326,0.000681018,21.44256797,,1.304844,,,,,,,,,,,,,,WW3,78,GW,,GW19-091,0.05,2.9550984,0.05,,,,,,,,,,,,,2019-04-17 08:58:00
RI18-WB-SGW3-6,Wade,9/25/2018,9:20,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.248348691,1.026323479,0.008456156,0.004092631,6.268430686,0.567665452,,2.551429154,1.815474459,0.000681018,16.67588188,,1.349076,,,,,,,,,,,,,,WW3,74,GW,,GW18-338,0.05,1.6816399,0.05,,,,,,,,,,,,,2018-09-25 09:20:00
RI18-WB-SGW3-2,Wade,4/13/2018,10:06,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.18161757,0.92617563,0.008575184,0.003301745,6.445326836,0.438370599,,3.367570391,1.980420568,0.000681018,21.20587621,,1.404366,,,,,,,,,,,,,,WW3,70,GW,,GW18-0115,0.05,2.7645013,0.05,,,,,,,,,,,,,2018-04-13 10:06:00
RI19-WB-SGW3-12,Wade,5/16/2019,12:00,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.152999885,1.140220198,0.008499563,0.015825014,7.242353351,0.436765108,,4.053973831,2.265565222,0.000681018,25.14156397,,1.500202,,,,,,,,,,,,,,WW3,80,GW,,0,0.05,3.2705113,0.05,,,,,,,,,,,,,2019-05-16 12:00:00
RI20-WB-DGW-2,Wade,6/23/2020,12:00,Groundwater,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.012116145,0.005731866,0.010554317,0.01457094,5.188529454,0.427185806,,2.934967299,2.332454387,0.000681018,30.24998401,,2.112078,,,,,,,,,,,,,,2,86,Deep groundwater,304 ft (@8 gpm),,0.05,3.8136287,0.05,,,,,,,,,,,,,2020-06-23 12:00:00
RI20-HB-SNOW-4,Hungerford,2/28/2020,12:00,Snow,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.027372202,0.015677008,0.00933291,0.008191069,0.003047912,0.342814751,,0.116014417,1.122932843,0.022085064,0.484332085,,2.458562,,,,,,,,,,,,,,HB1,4,SNOW,,FILTERED,0.131008,0.1265025,0.05,,,,,,,,,,,,,2020-02-28 12:00:00
RI19-WB-SNOW-1,Wade,2/21/2019,12:00,Snow,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.011573919,0.007302122,0.01415851,0.040990368,0.055830029,0.277929835,,0.490084238,1.528159652,0.011046045,2.470599715,,2.683408,,,,,,,,,,,,,,GW19-014,5,SNOW,,FILTERED,0.108224,0.5178169,0.05,,,,,,,,,,,,,2019-02-21 12:00:00
RI20-HB-WET-SW-PIT 1-45,Hungerford,11/6/2019,12:00,Soil water lysimeter wet,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.050421869,0.007162408,0.000541998,0.061651448,1.409442696,0.065370575,,1.180569105,4.283390708,0.049866624,4.062064155,,3.4918412,,,,,,,,,,,,,,SW,25,WET,45,PIT 1,0.5119754,3.186628,0.05,,,,,,,,,,,,,2019-11-06 12:00:00
RI18-HB-DRY-SW-PIT 1-45,Hungerford,4/5/2018,12:00,Soil water lysimeter dry,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.00047986,0.00019185,0.000541998,0.004994334,3.381961863,0.83107905,,7.057413706,5.485518451,0.000681018,30.19293565,,3.51859,,,,,,,,,,,,,,SW,29,DRY,45,PIT 1,0.2252168,3.09434,0.05,,,,,,,,,,,,,2018-04-05 12:00:00
RI18-HB-WET-SW-PIT 1-30,Hungerford,4/3/2018,12:00,Soil water lysimeter wet,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.019472969,0.00817685,0.000541998,0.072880861,1.456324419,0.151703597,,1.219389245,2.808011526,0.037871993,4.684745445,,3.9164784,,,,,,,,,,,,,,SW,24,WET,30,PIT 1,1.3041624,1.907574,0.05,,,,,,,,,,,,,2018-04-03 12:00:00
RI20-HB-WET-SW-PIT 4-45,Hungerford,10/30/2019,12:00,Soil water lysimeter wet,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.012096161,0.001627738,0.000541998,0.015804593,2.619037813,0.311141317,,4.927281632,7.648918423,0.000681018,27.91347082,,4.5751676,,,,,,,,,,,,,,SW,23,WET,45,PIT 4,2.0243324,6.191756,0.05,,,,,,,,,,,,,2019-10-30 12:00:00
RI20-HB-WET-SW-HW1-30,Hungerford,1/10/2020,12:00,Soil water lysimeter wet,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.008768971,0.001148707,0.000541998,0.241439727,1.439479755,0.083652507,,1.467808524,4.057266934,0.032041253,5.052087664,,4.621978,,,,,,,,,,,,,,SW,12,WET,30,HW1,0.7031478,3.028008,0.05,,,,,,,,,,,,,2020-01-10 12:00:00
RI20-HB-DRY-SW-HD1-45,Hungerford,10/30/2019,12:00,Soil water lysimeter dry,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.028381289,0.00019185,0.000541998,0.02184726,2.494522811,1.404254612,,5.089826982,4.662844702,0.000681018,21.83965198,,4.9797432,,,,,,,,,,,,,,SW,13,DRY,45,HD1,0.419008,2.902554,0.1605538,,,,,,,,,,,,,2019-10-30 12:00:00
RI20-HB-DRY-SW-HD 1-45,Hungerford,1/10/2020,12:00,Soil water lysimeter dry,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.010596282,0.00019185,0.000541998,0.006508106,2.658117957,1.30192559,,5.218782078,4.252062621,0.000681018,23.47106225,,5.5682168,,,,,,,,,,,,,,SW,27,DRY,45,HD 1,0.5263788,2.752586,0.05,,,,,,,,,,,,,2020-01-10 12:00:00
RI18-HB-WET-SW-HW1-45,Hungerford,5/8/2018,12:00,Soil water lysimeter wet,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.007436587,0.000333732,0.000541998,0.016713643,3.677958638,0.027033582,,2.448324187,5.53708723,0.004201231,7.723604815,,5.625058,,,,,,,,,,,,,,SW,15,WET,45,HW1,0.9741936,3.23854,0.05,,,,,,,,,,,,,2018-05-08 12:00:00
RI20-HB-DRY-SW-HD1-45,Hungerford,11/6/2019,12:00,Soil water lysimeter dry,Endmember,From Meghan's Major_ion_chemistry_data file. Most EMs have artificial time 12:00 MED.,,0.039916019,0.001667932,0.000541998,0.010018396,3.053403651,1.511496573,,5.089590734,4.346293782,0.001389096,21.93091066,,5.8825152,,,,,,,,,,,,,,SW,9,DRY,45,HD1,0.2514048,2.442556,0.126753,,,,,,,,,,,,,2019-11-06 12:00:00
