Sample ID,Site,Date,Time,Type,Type2,Fe_mg_L,Mn_mg_L,Cu_mg_L,Zn_mg_L,Si_mg_L,K_mg_L,P_mg_L,Mg_mg_L,Na_mg_L,Al_mg_L,Ca_mg_L,F_mg_L,Cl_mg_L,NO2_mg_L,Br_mg_L,NO3_mg_L,PO4_mg_L,SO4_mg_L,dD,d18O,DOC_mg_L,NO3_N_mg_L,SO4_S_mg_L,PO4_P_mg_L,Time Zone,Ba_mg_L,S_mg_L,Sr_mg_L,Datetime
RI25-1182,Hungerford,03/04/2025,13:30,Baseflow,Endmember,0.0751811444293779,0.066302171333648,0.005,0.0162875035399794,7.14900575892086,3.3404119502001,0.0488875367958694,9.03838043145902,27.241451298527,0.0084910027358623,43.122176484814,,44.872,,,,,,-82.639,-11.809,,,,,EST,0.0188363746139602,8.20691972213249,0.207195348769798,2025-03-04 13:30:00
RI25-1149,Hungerford,03/05/2025,12:30,Baseflow,Endmember,0.0875254301175799,0.0588404660565247,0.004,0.234192078603535,7.13615163136324,4.17159436818663,0.0374293255227123,9.2236175997607,26.4269536398205,0.0126979744714284,40.8953117300151,,46.277,,,,,,-79.002,-11.277,,,,,EDT,0.0170906398524396,8.43142560007537,0.199270774511479,2025-03-05 12:30:00
RI25-1228,Hungerford,03/07/2025,16:00,Snowmelt lysimeter,Endmember,0.0106527241176964,0.0100103480278188,0.003,0.0269275473725334,0.186822453494061,0.750696603622076,0.0344458136771672,0.277737044107506,0.723701940358386,0.0121497666038943,1.1216511729118,,1.975,,,,,,-112.538,-15.487,,,,,EST,0.0023457894441581,0.137375946609836,0.0049807538078414,2025-03-07 16:00:00
RI25-1230,Hungerford,03/17/2025,14:00,Snowmelt lysimeter,Endmember,0.0144955578055677,0.0071920655388572,0.002,0.0038817867105999,0.368928661744995,0.755043635361557,0.023840136837084,0.468033026260817,0.924824089584703,0.0169517455685153,1.27565818036987,,1.872,,,,,,-116.792,-15.922,,,,,EDT,0.0022844961057745,0.081996201329727,0.0072821840187373,2025-03-17 14:00:00
RI25-1117,Hungerford,02/10/2025,13:00,Soil water lysimeter wet,Endmember,0.163375547446333,0.0023977879868503,0.007,0.0137187466824647,8.52293418302902,1.48295451693214,0.110365626784113,1.4498504476483,2.07107551894728,0.18370745876058,7.62754182284029,,24.768,,,,,,-89.041,-12.763,,,,,EST,0.0107134878633691,2.56488469012499,0.0401657668107341,2025-02-10 13:00:00
RI25-1122,Hungerford,12/18/2024,13:15,Soil water lysimeter wet,Endmember,0.189389551039068,0.0191114029293714,0.009,0.0616053772076994,7.89434743421026,2.10493155229986,0.22843290142136,2.2993039327885,18.6876928930546,0.104292274312715,10.802080260442,,27.347,,,,,,-85.136,-12.218,,,,,EST,0.0136803810290885,3.376826628973,0.0501513950053542,2024-12-18 13:15:00
RI25-1183,Wade,03/04/2025,15:30,Baseflow,Endmember,0.009092103176771,0.0026095486676182,,0.0041468426920175,3.84485177440072,0.182053032927269,0.0197199635885132,0.638458896858886,0.778910015187182,0.0139129260871779,4.35130449918243,,,,,,,,-89.087,-12.991,,,,,EST,0.0034023637081787,1.21711379744092,0.0267067794038097,2025-03-04 15:30:00
RI25-1290,Wade,03/03/2025,15:45,Baseflow,Endmember,0.00841292896883,0.0020234022367026,,0.0033540315280288,3.97862414233901,0.224145735051009,0.004689193560016,0.6530137109891,0.768350455883591,0.0124078399611881,4.40342620740259,,,,,,,,,,,,,,EST,0.0038023797782991,1.23729629692767,0.0274065378979662,2025-03-03 15:45:00
RI25-1229,Wade,03/17/2025,12:00,Snowmelt lysimeter,Endmember,0.0074244643645789,0.0091086709624915,,0.0165948878584498,0.173011848006445,0.487547030439495,0.0145816444168773,0.116653337932215,0.337633722564304,0.0071169169761825,0.405398585281557,,,,,,,,-144.825,-19.965,,,,,EDT,0.0008547011946214,0.141262966888262,0.0023225113028545,2025-03-17 12:00:00
RI25-1301,Wade,03/28/2025,11:30,Snowmelt lysimeter,Endmember,0.0050293764244089,0.0113563035296846,,0.0805626222238855,0.295138241664404,0.812808715495903,0.0093352459503896,0.133976670078496,0.462552906224064,0.0249026085075288,0.489042125094086,,,,,,,,-113.637,-15.855,,,,,EDT,0.0010773422919634,0.163327994264156,0.0028466662088906,2025-03-28 11:30:00
RI25-1304,Wade,04/04/2025,9:30,Snowmelt lysimeter,Endmember,0.0074147920842676,0.0051941881983693,,0.0868963134996833,0.562828779261674,0.576386244088574,0.0075926176319185,0.125219376272607,0.278794139651271,0.0311498138740462,0.426163773040128,,,,,,,,-84.147,-11.896,,,,,EDT,0.0013233458615952,0.14814875974295,0.0025705355171308,2025-04-04 09:30:00
RI25-1115,Wade,02/10/2025,11:00,Soil water lysimeter dry,Endmember,0.0961438679861533,0.0016515970368478,,0.017911759130375,2.69107565167914,0.124891453142565,0.009742624874038,0.117381357762017,0.127532164929982,0.34351025154112,0.311310064011197,,,,,,,,-81.293,-12.148,,,,,EST,0.0042461749510821,0.196826480405888,0.0024868839629022,2025-02-10 11:00:00
RI25-1123,Wade,12/17/2024,12:30,Soil water lysimeter dry,Endmember,0.0942685608067847,0.0029730914136302,,0.902381504079543,2.37217692140535,0.400441140326505,0.0105717148314338,0.114725286867467,0.201120747249083,0.302230173900663,0.482012395003098,,,,,,,,-76.484,-11.243,,,,,EST,0.005087494871497,0.230593321458091,0.0026058777304597,2024-12-17 12:30:00
